category,"[210000] Estado de situación financiera, corriente/no corriente - Estados financieros consolidados Moneda: CLP - Peso chileno (Miles)",2018-03-31,2017-12-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31
Pasivos corrientes [sinopsis],Provisiones corrientes por beneficios a los empleados,4.894.075,4.563.129,5.121.565,5.786.941,5.234.604,5.051.110,4.657.470,6.196.445,5.451.532,3.846.649,3.238.269,3.714.607,5.414.242
Pasivos corrientes [sinopsis],Otros pasivos no financieros corrientes,48.145.247,49.819.574,54.046.237,45.837.539,33.968.640,31.978.102,37.558.841,43.835.053,50.555.542,83.494.576,89.338.704,85.159.814,77.113.702
Pasivos corrientes [sinopsis],Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,247.234.602,242.664.760,254.601.677,255.623.104,242.682.456,237.136.260,243.651.569,246.107.827,269.545.307,328.061.099,281.814.322,277.706.411,295.586.904
Pasivos corrientes [sinopsis],Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,-,-,-,-,-,-,-,-,-,-,-,-,-
Pasivos corrientes [sinopsis],Pasivos corrientes totales,247.234.602,242.664.760,254.601.677,255.623.104,242.682.456,237.136.260,243.651.569,246.107.827,269.545.307,328.061.099,281.814.322,277.706.411,295.586.904
Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis],Pasivos no corrientes [sinopsis]
Pasivos no corrientes [sinopsis],Otros pasivos financieros no corrientes,152.666.559,145.807.551,163.669.477,234.311.394,223.804.397,237.821.536,243.680.385,258.704.384,255.136.956,209.189.805,214.682.439,207.264.557,202.436.502
Pasivos no corrientes [sinopsis],Cuentas por pagar no corrientes,-,-,-,-,-,-,-,-,-,-,-,-,-
Pasivos no corrientes [sinopsis],"Cuentas por pagar a entidades relacionadas, no corrientes",10.401.105,7.934.538,10.456.652,10.505.609,10.534.376,9.887.171,9.654.194,9.965.165,9.781.312,9.683.678,9.821.123,9.975.960,10.216.505
Pasivos no corrientes [sinopsis],Otras provisiones a largo plazo,3.124.014,3.185.991,3.330.914,3.777.344,5.087.907,5.092.689,5.053.937,5.257.175,6.258.294,6.307.692,6.464.858,6.206.141,5.600.045
Pasivos no corrientes [sinopsis],Pasivo por impuestos diferidos,21.166.199,20.779.694,20.247.264,19.461.959,17.531.691,18.052.933,18.973.656,20.827.475,20.684.292,20.121.939,20.934.867,22.392.840,25.926.091
Pasivos no corrientes [sinopsis],"Pasivos por impuestos corrientes, no corrientes",-,-,-,-,-,-,-,-,-,-,-,-,-
Pasivos no corrientes [sinopsis],Provisiones no corrientes por beneficios a los empleados,477.113,447.438,499.500,626.930,595.580,534.494,507.726,662.539,624.658,434.735,421.782,457.909,459.260
Pasivos no corrientes [sinopsis],Otros pasivos no financieros no corrientes,-,-,463.024,2.318.098,2.449.357,3.452.123,5.263.145,26.964.056,15.168.545,2.812.895,3.157.017,3.651.707,4.795.553
Pasivos no corrientes [sinopsis],Total de pasivos no corrientes,187.834.990,178.155.212,198.666.831,271.001.334,260.003.308,274.840.946,283.133.043,322.380.794,307.654.057,305.973.325,306.183.652,298.757.925,291.380.021
Pasivos no corrientes [sinopsis],Total de pasivos,435.069.592,420.819.972,453.268.508,526.624.438,502.685.764,511.977.206,526.784.612,568.488.621,577.199.364,634.034.424,587.997.974,576.464.336,586.966.925
Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis],Patrimonio [sinopsis]
Patrimonio [sinopsis],Capital emitido,59.047.773,59.047.773,59.047.773,59.047.773,59.047.773,,,,,,,,
Patrimonio [sinopsis],Ganancias (pérdidas) acumuladas,118.775.236,117.419.038,118.258.948,120.587.846,111.252.106,114.143.423,114.340.199,117.255.621,119.158.250,119.818.656,121.318.013,125.508.044,126.907.733
Patrimonio [sinopsis],Prima de emisión,9.867.228,9.867.228,9.867.228,9.867.228,9.867.228,9.867.228,9.867.228,9.867.228,9.867.228,9.867.228,9.867.228,9.867.228,9.867.228
Patrimonio [sinopsis],Acciones propias en cartera,-,-,-,-,-,-,-,-,-,-,-,-,-
Patrimonio [sinopsis],Otras participaciones en el patrimonio,-,-,-,-,-,-,-,-,-,-,-,-,-
Patrimonio [sinopsis],Otras reservas,847.041,879.443,3.247.422,2.447.792,4.177.422,3.063.150,1.542.851,545.650,2.748.758,3.025.246,2.699.173,2.043.386,-2.021.591
Patrimonio [sinopsis],Patrimonio atribuible a los propietarios de la controladora,188.537.278,187.213.482,190.421.371,191.950.639,184.344.529,186.121.574,184.798.051,186.716.272,190.822.009,191.758.903,192.932.187,196.466.431,193.801.143
Patrimonio [sinopsis],Participaciones no controladoras,11.930.454,12.125.520,12.038.094,12.999.736,11.358.746,10.301.411,9.361.026,9.093.401,8.598.438,7.979.785,6.997.819,6.377.846,7.092.723
Patrimonio [sinopsis],Patrimonio total,200.467.732,199.339.002,202.459.465,204.950.375,195.703.275,196.422.985,194.159.077,195.809.673,199.420.447,199.738.688,199.930.006,202.844.277,200.893.866
Patrimonio [sinopsis],Total de patrimonio y pasivos,635.537.324,620.158.974,655.727.973,731.574.813,698.389.039,708.400.191,720.943.689,764.298.294,776.619.811,833.773.112,787.927.980,779.308.613,787.860.791
Patrimonio [sinopsis],Capital emitido y pagado,,,,,,59.047.773,59.047.773,59.047.773,59.047.773,59.047.773,59.047.773,59.047.773,59.047.773
Activos no corrientes [sinopsis],Activos por derecho de uso,,,,,,,,,,-,-,-,-
Pasivos corrientes [sinopsis],Pasivos por arrendamientos corrientes,,,,,,,,,,21.831.282,19.833.909,20.706.078,20.182.737
Pasivos no corrientes [sinopsis],Pasivos por arrendamientos no corrientes,,,,,,,,,,57.422.581,50.701.566,48.808.811,41.946.065
