category,"[510000] Estado de flujos de efectivo, método directo – Estados financieros consolidados Moneda: CLP - Peso chileno (Miles)",Desde 2018-01-01 Hasta 2018-03-31,Desde 2017-01-01 Hasta 2017-03-31,Desde 2018-01-01 Hasta 2018-06-30,Desde 2017-01-01 Hasta 2017-06-30,Desde 2018-01-01 Hasta 2018-09-30,Desde 2017-01-01 Hasta 2017-09-30,Desde 2018-01-01 Hasta 2018-12-31,Desde 2017-01-01 Hasta 2017-12-31,Desde 2019-01-01 Hasta 2019-03-31,Desde 2019-01-01 Hasta 2019-06-30,Desde 2019-01-01 Hasta 2019-09-30,Desde 2019-01-01 Hasta 2019-12-31,Desde 2020-01-01 Hasta 2020-03-31,Desde 2020-01-01 Hasta 2020-06-30,Desde 2020-01-01 Hasta 2020-09-30,Desde 2020-01-01 Hasta 2020-12-31
Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis]
Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis]
Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis]
Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Flujos de efectivo procedentes de la pérdida de control de subsidiarias u otros negocios,-,-,-,8.727.880,-,8.727.880,-,8.727.880,-,-,-,-4.248.000,-,-,-,-
Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Flujos de efectivo utilizados para obtener el control de subsidiarias u otros negocios,-,-,-,638.102,4.333.584,661.785,-,298.635,-,-,-,-,-,-,-,-
Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Flujos de efectivo utilizados en la compra de participaciones no controladoras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Otros cobros por la venta de patrimonio o instrumentos de deuda de otras entidades,513.881,153.271,1.243.147,153.062,-,-,238.691,-,801.936,75.639,78.827,73.286,940.649,-,235.091,239.645
Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Otros pagos para adquirir patrimonio o instrumentos de deuda de otras entidades,-,-,-,-,-,-28.055,-,-,-,-,-,-,-,-,-,-
Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Otros cobros por la venta de participaciones en negocios conjuntos,-,-,-4.216.171,-249.398,1.250.038,-,2.744.948,-,-,1.868.179,2.137.732,4.266.260,-,1.693.019,1.817.629,2.118.725
Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Otros pagos para adquirir participaciones en negocios conjuntos,-,-8.727.880,-,-,-,-,4.466.699,-,-,490.107,498.602,1.302.396,-,-,11.953.942,11.953.531
Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],Préstamos a entidades relacionadas,8.999,1.868.004,4.543.370,2.945.589,2.873.402,2.742.670,1.849.107,4.211.923,850.000,10.964.588,12.306.641,8.446.349,150.000,-,-,-
Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],"Importes procedentes de la venta de propiedades, planta y equipo",5.670.231,502.775,1.631.378,756.026,1.721.575,3.325.967,2.609.256,12.722.598,1.304.378,1.964.200,2.903.255,3.569.651,1.101.694,3.012.777,4.839.938,6.372.286
